chr1_565160_565494	chr1_565106_565543
chr1_244892685_244894221	chr1_244892673_244894184
chr1_244964487_244964882	chr1_244964498_244964863
chr1_244978764_244979290	chr1_244978751_244979305
chr1_244997024_244999641	chr1_244997032_244999566
chr1_245025534_245028555	chr1_245025592_245028572
chr1_245081806_245082523	chr1_245081955_245082463
chr1_245084251_245084666	chr1_245084236_245084674
chr1_245104385_245104783	chr1_245104382_245104829
chr1_245132665_245135008	chr1_245132670_245134996
chr1_245205935_245206379	chr1_245205954_245206385
chr1_245217447_245218130	chr1_245217675_245217791
chr1_245220212_245220612	chr1_245220376_245220517
chr1_245316337_245317093	chr1_245316376_245316830
chr1_245319494_245320336	chr1_245319726_245320179
chr1_245474152_245474916	chr1_245474470_245474708
chr1_245837353_245837677	chr1_245837292_245837775
chr1_245853737_245853824	chr1_245853723_245853943
chr1_245862221_245862626	chr1_245862232_245862672
chr1_246116760_246117936	chr1_246115880_246117567
chr1_246119545_246119993	chr1_246119570_246120006
chr1_246280438_246281235	chr1_246280443_246281137
chr1_246378213_246378657	chr1_246378299_246378614
chr1_246660641_246661033	chr1_246660685_246661002
chr1_246669668_246671078	chr1_246669643_246671059
chr1_246729091_246730589	chr1_246729205_246730563
chr1_246732645_246733376	chr1_246732820_246733338
chr1_246734683_246735031	chr1_246734685_246735070
chr1_246772182_246772696	chr1_246772240_246772591
chr1_246852784_246853264	chr1_246852803_246853270
chr1_246862292_246862904	chr1_246862311_246862894
chr1_246887155_246888211	chr1_246887228_246888131
chr1_246917173_246917620	chr1_246917188_246917595
chr1_246981062_246981487	chr1_246981060_246981494
chr1_247094221_247095923	chr1_247094232_247095876
chr1_247123083_247123713	chr1_247122977_247123779
chr1_247125086_247125802	chr1_247125097_247126162
chr1_247134685_247134869	chr1_247134672_247135001
chr1_247170869_247171696	chr1_247171175_247171621
chr1_247241206_247243070	chr1_247241166_247243066
chr1_247267074_247268088	chr1_247267140_247268082
chr1_247373331_247374547	chr1_247373378_247374541
chr1_247494164_247495962	chr1_247494258_247495924
chr1_247523351_247523954	chr1_247523502_247523811
chr1_247535982_247537585	chr1_247536023_247536383
chr1_247535982_247537585	chr1_247537122_247537473
chr1_247553303_247554148	chr1_247553321_247554023
chr1_247570280_247571940	chr1_247570406_247571043
chr1_247573185_247573790	chr1_247573361_247573574
chr1_247578780_247579972	chr1_247578939_247579722
chr1_247603310_247604004	chr1_247603336_247603915
chr1_247609116_247609689	chr1_247609261_247609541
chr1_247650421_247650818	chr1_247650567_247650768
chr1_247802655_247802985	chr1_247802770_247802988
chr1_248020296_248021279	chr1_248020393_248020986
chr1_248100103_248100868	chr1_248100172_248100677
chr1_248567287_248567754	chr1_248567305_248567731
chr1_248785817_248786202	chr1_248785985_248786176
chr1_249080390_249080688	chr1_249079564_249080836
chr1_249086583_249086905	chr1_249086413_249087148
chr1_249098912_249099753	chr1_249098902_249099875
chr1_249101322_249101694	chr1_249101289_249101737
chr1_249111159_249111647	chr1_249111164_249111560
chr1_249116608_249117044	chr1_249116348_249117111
chr1_249119658_249121226	chr1_249119703_249121224
chr1_249131824_249133675	chr1_249131850_249133623
chr1_249135914_249136271	chr1_249135957_249136255
chr1_249147801_249148525	chr1_249147857_249148310
chr1_249152186_249154062	chr1_249152279_249153909
chr1_249156928_249157898	chr1_249157028_249157831
chr1_249167049_249168897	chr1_249167216_249168771
chr1_249199881_249201398	chr1_249199967_249201406
chr1_249218832_249219792	chr1_249218835_249219745
chr10_173732_174323	chr10_173725_174341
chr10_180305_183455	chr10_180475_183445
chr10_330033_330128	chr10_329778_330236
chr10_357892_358263	chr10_357867_358367
chr10_363080_363666	chr10_363025_363728
chr10_369798_370326	chr10_369775_370883
chr10_379237_380220	chr10_379399_380175
chr10_427644_428265	chr10_427716_428214
chr10_496649_497624	chr10_496480_497508
chr10_516108_517038	chr10_516135_517011
chr10_530411_531444	chr10_530458_531477
chr10_556901_557370	chr10_556906_557330
chr10_559467_559529	chr10_559423_559567
chr10_666358_666642	chr10_666345_666683
chr10_835086_835156	chr10_834969_835334
chr10_850708_851111	chr10_850460_850834
chr10_868976_869250	chr10_869094_869242
chr10_897899_898069	chr10_897748_898257
chr10_975839_978334	chr10_975877_978283
chr10_990238_990901	chr10_989495_990825
chr10_1033533_1034956	chr10_1033690_1034835
chr10_1089282_1090238	chr10_1089349_1090380
chr10_1094097_1095902	chr10_1094085_1095870
chr10_1096504_1096905	chr10_1096569_1096828
chr10_1101626_1103677	chr10_1101882_1103645
chr10_1109069_1109717	chr10_1109172_1109685
chr10_1155943_1156692	chr10_1155973_1156593
chr10_1195691_1196130	chr10_1195751_1196053
chr10_1255243_1255620	chr10_1255407_1255530
chr10_1401528_1401993	chr10_1401528_1401939
chr10_1462980_1463643	chr10_1462968_1463551
chr10_1467052_1467186	chr10_1466729_1467408
chr10_1468019_1468481	chr10_1468020_1468622
chr10_1496591_1497069	chr10_1496538_1497152
chr10_1531361_1531595	chr10_1531059_1531777
chr10_1618802_1619944	chr10_1618930_1620043
chr10_1704036_1704927	chr10_1704004_1704957
chr10_2970497_2970660	chr10_2970376_2970802
chr10_3078265_3078863	chr10_3078195_3078985
chr10_3085730_3086197	chr10_3085710_3086190
chr10_3100143_3100563	chr10_3100259_3100335
chr10_3106790_3106807	chr10_3106588_3106984
chr10_3108740_3111505	chr10_3109450_3111252
chr10_3137768_3138655	chr10_3137798_3138330
chr10_3214310_3215908	chr10_3214445_3215869
chr10_3235072_3235406	chr10_3235083_3235359
chr10_3239538_3240325	chr10_3239801_3240334
chr10_3269917_3270548	chr10_3269952_3270391
chr10_3281752_3282228	chr10_3281759_3282216
chr10_3514851_3515153	chr10_3514652_3515043
chr10_3526627_3527946	chr10_3526367_3528046
chr10_3697786_3698069	chr10_3697740_3698158
chr10_3710606_3711526	chr10_3710782_3711443
chr10_3762590_3763334	chr10_3762699_3763194
chr10_3799764_3800665	chr10_3799768_3800811
chr10_3803247_3803833	chr10_3803219_3803903
chr10_3815024_3815256	chr10_3815064_3815201
chr10_3816054_3829703	chr10_3816123_3819617
chr10_3816054_3829703	chr10_3820966_3828387
chr10_3845631_3850073	chr10_3845668_3848353
chr10_3845631_3850073	chr10_3849360_3850094
chr10_3851016_3854241	chr10_3851714_3854064
chr10_3893170_3895112	chr10_3893334_3895072
chr10_3915833_3916458	chr10_3915828_3916456
chr10_3917019_3918252	chr10_3917099_3918070
chr10_3929958_3930524	chr10_3929982_3930477
chr10_3934446_3935309	chr10_3934483_3935392
chr10_3944436_3945080	chr10_3944469_3945091
chr10_3977204_3977795	chr10_3977154_3977860
chr10_3987879_3988602	chr10_3988023_3988529
chr10_3990980_3991550	chr10_3990948_3991525
chr10_3993037_3993509	chr10_3993103_3993307
chr10_4003205_4003787	chr10_4003215_4003761
chr10_4077316_4077591	chr10_4077465_4077793
chr10_4096217_4096577	chr10_4096218_4096538
chr10_4170119_4170542	chr10_4170137_4170581
chr10_4172858_4174203	chr10_4172960_4174174
chr10_4276736_4277410	chr10_4276769_4277374
chr10_4375594_4375787	chr10_4375398_4375978
chr10_4556619_4557098	chr10_4556697_4557097
chr10_4867941_4869125	chr10_4868104_4869045
chr10_4891654_4892320	chr10_4891687_4892271
chr10_5276046_5276701	chr10_5276094_5276447
chr10_5325405_5326819	chr10_5325441_5325823
chr10_5325405_5326819	chr10_5326384_5326709
chr10_5333458_5334624	chr10_5333569_5334142
chr10_5335710_5336458	chr10_5335853_5336385
chr10_5339346_5339927	chr10_5339374_5339824
chr10_5359709_5360110	chr10_5359856_5359968
chr10_5454265_5454963	chr10_5454346_5454920
chr10_5488262_5488804	chr10_5488287_5488815
chr10_5489462_5489955	chr10_5489628_5489849
chr10_5590764_5591291	chr10_5590774_5591281
chr10_5606064_5606938	chr10_5606233_5606422
chr10_5665016_5665542	chr10_5665016_5665526
chr10_5671747_5672241	chr10_5671752_5672241
chr10_5687414_5687699	chr10_5687336_5687719
chr10_5701748_5702239	chr10_5701782_5702240
chr10_5707809_5708941	chr10_5707962_5708828
chr10_5726149_5728022	chr10_5726269_5727937
chr10_5734383_5735229	chr10_5734353_5735229
chr10_5817559_5818196	chr10_5817608_5818079
chr10_5851507_5851946	chr10_5851516_5851909
chr10_5854558_5856297	chr10_5854567_5856287
chr10_5858144_5858545	chr10_5857972_5858732
chr10_5860926_5861254	chr10_5860819_5861359
chr10_5882183_5883339	chr10_5882094_5883496
chr10_5894250_5894952	chr10_5893993_5895107
chr10_5915388_5916092	chr10_5915373_5916111
chr10_5930310_5932915	chr10_5930310_5932865
chr10_5938035_5938052	chr10_5937809_5938212
chr10_6002108_6002236	chr10_6001964_6002164
chr10_6017756_6020301	chr10_6017749_6020352
chr10_6056080_6056894	chr10_6056112_6056703
chr10_6078954_6080711	chr10_6078872_6080541
chr10_6092055_6093571	chr10_6092430_6093566
chr10_6094311_6095200	chr10_6094340_6095123
chr10_6095902_6096517	chr10_6095993_6096594
chr10_6103942_6104723	chr10_6104082_6104670
chr10_6110264_6111532	chr10_6110261_6111566
chr10_6114427_6115026	chr10_6113991_6115144
chr10_6128261_6128810	chr10_6128266_6128825
chr10_6130513_6132113	chr10_6130514_6132079
chr10_6150891_6151271	chr10_6150955_6151222
chr10_6171749_6172393	chr10_6172028_6172193
chr10_6182427_6183790	chr10_6182580_6183807
chr10_6186460_6187929	chr10_6186496_6187356
chr10_6190167_6190755	chr10_6190300_6190669
chr10_6192979_6193967	chr10_6192979_6193957
chr10_6205223_6206695	chr10_6205234_6206463
chr10_6242511_6246684	chr10_6242704_6246660
chr10_6281162_6281562	chr10_6281190_6281542
chr10_6296263_6296653	chr10_6296350_6296578
chr10_6309080_6309682	chr10_6309126_6309615
chr10_6312094_6312950	chr10_6312159_6312894
chr10_6316953_6317839	chr10_6317064_6317776
chr10_6333596_6334179	chr10_6333679_6334072
chr10_6341856_6342769	chr10_6341851_6342816
chr10_6389622_6390791	chr10_6389592_6390799
chr10_6438559_6439121	chr10_6438722_6438994
chr10_6443702_6444189	chr10_6443703_6444180
chr10_6451904_6452727	chr10_6452192_6452664
chr10_6515289_6516346	chr10_6515339_6516166
chr10_6533771_6534700	chr10_6533781_6534658
chr10_6536605_6537572	chr10_6536890_6537352
chr10_6540597_6541196	chr10_6540649_6541146
chr10_6571886_6572846	chr10_6572067_6572633
chr10_6584855_6586053	chr10_6584943_6585821
chr10_6600176_6601073	chr10_6600225_6600626
chr10_6605060_6605344	chr10_6605167_6605351
chr10_6620093_6620860	chr10_6620113_6620551
chr10_6621513_6623051	chr10_6622021_6622791
chr10_6625262_6625802	chr10_6625578_6625606
chr10_6689831_6690286	chr10_6689863_6690264
chr10_6707802_6708212	chr10_6707878_6708144
chr10_6960543_6960620	chr10_6960317_6960672
chr10_6961888_6962587	chr10_6961892_6962638
chr10_6969383_6970829	chr10_6969429_6970406
chr10_7015814_7016352	chr10_7015885_7016269
chr10_7071998_7072700	chr10_7072035_7072629
chr10_7088026_7088905	chr10_7088077_7088863
chr10_7162999_7163601	chr10_7162931_7163603
chr10_7226510_7227651	chr10_7226461_7227693
chr10_7234678_7235736	chr10_7234482_7235840
chr10_7281304_7281634	chr10_7281311_7281642
chr10_7285181_7286224	chr10_7285237_7285431
chr10_7285181_7286224	chr10_7285947_7286245
chr10_7300802_7301427	chr10_7300816_7301414
chr10_7302282_7302828	chr10_7302296_7302787
chr10_7311166_7311884	chr10_7311145_7311749
chr10_7348050_7348519	chr10_7347951_7348661
chr10_7360030_7360392	chr10_7359952_7361186
chr10_7361031_7361056	chr10_7359952_7361186
chr10_7379555_7379572	chr10_7379266_7379927
chr10_7430600_7430934	chr10_7430687_7430913
chr10_7449829_7455221	chr10_7449932_7454769
chr10_7466409_7466602	chr10_7466274_7466614
chr10_7487702_7488093	chr10_7487496_7488207
chr10_7513592_7514420	chr10_7513577_7514487
chr10_7522906_7523470	chr10_7522758_7523470
chr10_7525782_7527415	chr10_7525848_7527292
chr10_7550381_7550469	chr10_7550457_7550474
chr10_7567345_7567766	chr10_7567337_7567750
chr10_7729137_7729666	chr10_7729189_7729619
chr10_7829422_7830992	chr10_7829492_7830882
chr10_7859924_7861471	chr10_7859964_7861388
chr10_8090395_8091000	chr10_8090678_8090866
chr10_8095189_8099474	chr10_8095229_8098071
chr10_8095189_8099474	chr10_8098908_8099231
chr10_8101347_8104158	chr10_8102026_8102557
chr10_8101347_8104158	chr10_8103156_8104143
chr10_8130440_8130888	chr10_8130545_8130719
chr10_8225059_8225823	chr10_8225335_8225743
chr10_8373308_8374997	chr10_8373370_8374843
chr10_8402370_8402670	chr10_8402365_8402691
chr10_8444422_8445016	chr10_8444685_8444744
chr10_8446562_8447227	chr10_8446670_8447080
chr10_8457990_8459018	chr10_8458063_8458924
chr10_8480550_8481083	chr10_8480697_8480878
chr10_10562747_10563032	chr10_10562423_10563144
chr10_11155165_11155557	chr10_11155126_11155578
chr10_11187148_11187889	chr10_11187339_11187849
chr10_11189651_11190119	chr10_11189736_11190087
chr10_11191091_11193215	chr10_11191166_11192734
chr10_11199725_11199736	chr10_11199655_11199886
chr10_11204734_11208616	chr10_11204736_11208583
chr10_11210445_11213679	chr10_11212018_11212238
chr10_11210445_11213679	chr10_11212766_11213684
chr10_11214915_11215301	chr10_11215029_11215223
chr10_11217591_11219184	chr10_11217591_11219105
chr10_11219900_11222761	chr10_11219983_11221160
chr10_11219900_11222761	chr10_11222051_11222735
chr10_11237091_11237411	chr10_11236903_11237575
chr10_11239095_11239782	chr10_11239106_11239773
chr10_11250291_11251687	chr10_11251078_11251323
chr10_11267782_11269573	chr10_11267810_11269801
chr10_11279498_11279934	chr10_11279497_11280012
chr10_11284342_11285125	chr10_11284258_11285199
chr10_11287090_11287426	chr10_11286759_11287804
chr10_11312438_11312928	chr10_11312394_11312964
chr10_11377330_11377782	chr10_11377351_11377783
chr10_11387717_11388144	chr10_11387803_11387984
chr10_11444993_11445630	chr10_11445041_11445559
chr10_11490432_11490808	chr10_11490388_11491068
chr10_11514137_11514553	chr10_11514154_11514546
chr10_11557616_11557969	chr10_11557587_11557988
chr10_11595987_11596414	chr10_11595972_11596468
chr10_11602366_11602711	chr10_11602298_11602806
chr10_11615540_11615834	chr10_11615515_11615922
chr10_11647006_11647113	chr10_11646770_11647166
chr10_11652918_11654998	chr10_11652881_11654892
chr10_11666988_11667485	chr10_11666974_11667465
chr10_11674148_11674633	chr10_11674126_11674625
chr10_11704643_11704825	chr10_11704497_11704932
chr10_11706065_11706409	chr10_11705956_11707428
chr10_11720103_11720504	chr10_11719588_11720633
chr10_11725546_11728255	chr10_11725535_11728278
chr10_11741008_11741448	chr10_11740749_11741489
chr10_11752611_11753161	chr10_11752619_11753155
chr10_11755267_11755357	chr10_11755088_11755408
chr10_11759943_11760425	chr10_11759900_11760509
chr10_11762126_11762540	chr10_11762080_11762463
chr10_11767212_11767563	chr10_11767181_11767566
chr10_11784053_11784917	chr10_11784081_11784705
chr10_11799826_11800352	chr10_11799847_11800340
chr10_11824828_11825191	chr10_11824809_11825157
chr10_11865125_11865884	chr10_11865275_11865485
chr10_11891763_11892426	chr10_11891936_11892374
chr10_11905339_11906134	chr10_11905376_11906149
chr10_12028808_12028953	chr10_12028656_12028999
chr10_12083650_12086319	chr10_12083600_12086459
chr10_12095497_12096424	chr10_12095423_12096424
chr10_12110384_12111750	chr10_12110395_12111559
chr10_12117042_12117457	chr10_12116953_12117544
chr10_12119819_12120185	chr10_12119675_12120572
chr10_12154712_12155197	chr10_12154702_12155130
chr10_12164561_12165068	chr10_12164561_12165078
chr10_12170957_12172703	chr10_12170956_12172708
chr10_12223138_12223861	chr10_12223276_12223847
chr10_12236907_12238686	chr10_12237459_12238665
chr10_12285730_12286298	chr10_12285561_12286385
chr10_12294953_12295224	chr10_12294847_12295313
chr10_12304617_12304651	chr10_12304510_12304806
chr10_12305529_12308249	chr10_12305487_12308299
chr10_12312772_12313178	chr10_12312772_12313173
chr10_12375547_12376240	chr10_12375555_12376235
chr10_12390614_12393053	chr10_12390625_12392999
chr10_12401059_12401484	chr10_12401059_12401469
chr10_12407877_12408427	chr10_12407980_12408289
chr10_12454980_12455557	chr10_12454996_12455714
chr10_12490564_12491584	chr10_12490613_12491518
chr10_12527441_12527568	chr10_12527033_12527685
chr10_12556248_12556594	chr10_12556010_12556637
chr10_12647364_12648574	chr10_12647547_12648569
chr10_12698522_12698880	chr10_12698506_12698872
chr10_12753058_12753468	chr10_12753072_12753469
chr10_12784798_12785080	chr10_12784679_12785226
chr10_13141019_13143188	chr10_13141021_13143050
chr10_13149804_13150445	chr10_13149941_13150419
chr10_13158134_13158965	chr10_13158145_13158867
chr10_13159798_13160653	chr10_13159869_13160253
chr10_13202944_13203975	chr10_13202966_13203877
chr10_13313490_13313929	chr10_13313507_13313929
chr10_13341249_13342533	chr10_13341346_13342431
chr10_13343745_13344903	chr10_13343795_13344824
chr10_13382651_13383024	chr10_13382697_13382968
chr10_13389082_13391328	chr10_13389112_13390891
chr10_13391925_13392312	chr10_13392102_13392115
chr10_13393542_13393986	chr10_13393669_13393984
chr10_13413822_13414312	chr10_13413846_13414291
chr10_13481714_13482874	chr10_13482394_13482800
chr10_13628567_13629500	chr10_13628575_13629237
chr10_13701941_13702409	chr10_13701996_13702397
chr10_13747796_13748040	chr10_13747824_13748035
chr10_13754790_13755522	chr10_13754861_13755637
chr10_13760029_13760764	chr10_13760110_13760749
chr10_13799473_13799748	chr10_13799483_13799739
chr10_13819944_13820377	chr10_13819978_13820342
chr10_13828840_13829709	chr10_13828870_13829577
chr10_13873786_13874179	chr10_13873686_13874249
chr10_13916080_13916352	chr10_13915234_13916423
chr10_13924070_13924666	chr10_13924187_13924652
chr10_14035857_14036091	chr10_14035861_14035987
chr10_14050743_14050827	chr10_14050335_14050768
chr10_14051345_14052120	chr10_14051277_14052120
chr10_14057992_14058327	chr10_14057932_14058313
chr10_14066366_14066905	chr10_14066276_14067000
chr10_14215519_14216544	chr10_14216106_14216319
chr10_14226681_14228761	chr10_14227003_14228012
chr10_14238922_14239255	chr10_14238959_14239094
chr10_14540890_14541362	chr10_14540896_14541350
chr10_14579148_14579255	chr10_14579028_14579265
chr10_14585024_14585740	chr10_14585225_14585658
chr10_14596431_14596973	chr10_14596443_14596973
chr10_14598315_14598867	chr10_14598249_14598894
chr10_14601402_14602684	chr10_14602267_14602662
chr10_14603349_14604583	chr10_14603366_14603732
chr10_14606195_14606867	chr10_14606193_14606853
chr10_14611541_14612950	chr10_14612290_14612447
chr10_14613701_14614650	chr10_14613733_14614609
chr10_14625135_14625869	chr10_14625163_14625795
chr10_14626624_14627090	chr10_14626642_14627057
chr10_14628806_14630756	chr10_14628933_14629185
chr10_14628806_14630756	chr10_14629820_14630462
chr10_14643921_14644520	chr10_14643957_14644538
chr10_14645393_14647706	chr10_14645473_14646787
chr10_14645393_14647706	chr10_14647319_14647634
chr10_14650401_14650988	chr10_14650338_14651126
chr10_14689730_14690992	chr10_14689673_14690928
chr10_14695651_14695989	chr10_14695559_14695937
chr10_14701457_14702284	chr10_14701445_14702316
chr10_14747542_14747906	chr10_14747541_14747901
chr10_14765288_14765696	chr10_14765326_14765447
chr10_14778833_14779076	chr10_14778675_14779145
chr10_14782671_14783072	chr10_14782532_14783311
chr10_14784699_14785195	chr10_14784654_14785278
chr10_14791184_14791568	chr10_14791144_14791576
chr10_14792873_14793984	chr10_14792885_14794024
chr10_14865227_14865477	chr10_14865467_14865469
chr10_14879455_14881242	chr10_14879498_14881062
chr10_14919911_14921789	chr10_14920020_14921588
chr10_14968788_14969019	chr10_14968219_14969212
chr10_14993746_14994177	chr10_14993504_14994250
chr10_14995309_14996712	chr10_14995370_14996675
chr10_15001037_15002520	chr10_15001069_15002398
chr10_15013937_15014244	chr10_15013935_15014244
chr10_15130301_15131135	chr10_15130363_15131119
chr10_15138634_15140171	chr10_15138650_15139995
chr10_15148355_15148848	chr10_15148368_15148828
chr10_15183117_15183617	chr10_15183077_15183673
chr10_15209629_15212339	chr10_15209679_15212003
chr10_15250649_15252267	chr10_15250822_15251319
chr10_15250649_15252267	chr10_15251830_15252235
chr10_15873522_15873820	chr10_15873496_15873827
chr10_15901678_15902837	chr10_15901736_15902823
chr10_16478265_16479686	chr10_16478284_16479681
chr10_16829234_16829945	chr10_16829312_16829932
chr10_16851422_16851440	chr10_16851315_16851629
chr10_16858884_16860206	chr10_16858970_16860128
chr10_16870102_16870560	chr10_16870145_16870573
chr10_16885268_16885622	chr10_16885321_16885588
chr10_16933239_16934081	chr10_16933273_16933713
chr10_16990372_16990687	chr10_16990378_16990689
chr10_17043906_17044514	chr10_17044122_17044252
chr10_17045028_17045560	chr10_17045068_17045538
chr10_17064854_17066320	chr10_17065270_17066266
chr10_17067518_17068129	chr10_17067556_17068059
chr10_17068668_17069278	chr10_17068668_17069279
chr10_17071476_17071976	chr10_17071492_17071961
chr10_17242681_17243972	chr10_17242815_17243951
chr10_17248059_17248788	chr10_17248072_17248723
chr10_17254917_17255318	chr10_17255045_17255065
chr10_17258068_17259361	chr10_17258128_17258944
chr10_17269239_17273130	chr10_17269244_17273066
chr10_17280079_17282066	chr10_17280425_17281199
chr10_17299662_17300103	chr10_17299713_17300080
chr10_17467827_17468373	chr10_17467891_17468297
chr10_17470311_17471288	chr10_17470346_17471207
chr10_17472737_17473116	chr10_17472755_17473102
chr10_17486105_17486520	chr10_17486031_17486593
chr10_17495177_17496936	chr10_17495219_17496996
chr10_17551133_17551576	chr10_17551079_17551594
chr10_17552456_17552580	chr10_17552266_17552655
chr10_17553292_17553703	chr10_17553196_17553990
chr10_17629040_17629105	chr10_17628974_17629144
chr10_17649506_17649917	chr10_17649506_17649917
chr10_17658606_17659861	chr10_17658639_17659899
chr10_17685416_17686835	chr10_17685371_17686844
chr10_17690266_17690900	chr10_17690343_17690744
chr10_17697418_17697853	chr10_17697023_17698372
chr10_17704770_17704777	chr10_17704719_17704828
chr10_17711652_17711858	chr10_17711538_17712039
chr10_18916428_18917032	chr10_18916524_18916980
chr10_18940131_18941075	chr10_18940137_18941054
chr10_18947754_18949161	chr10_18947220_18948977
chr10_20104642_20106713	chr10_20105600_20105996
chr10_20292505_20293581	chr10_20292583_20293264
chr10_21661776_21662303	chr10_21662053_21662156
chr10_21783405_21786172	chr10_21784490_21785923
chr10_21805178_21806677	chr10_21805701_21806522
chr10_21813845_21816574	chr10_21814324_21816346
chr10_21822269_21824462	chr10_21822434_21824291
chr10_21999629_22000054	chr10_21999584_22000061
chr10_22013639_22014100	chr10_22013737_22013996
chr10_22021121_22021435	chr10_22021175_22021320
chr10_22278501_22278861	chr10_22278465_22278860
chr10_22291357_22293198	chr10_22291460_22293078
chr10_22311314_22312116	chr10_22311451_22312060
chr10_22517800_22519843	chr10_22517822_22518744
chr10_22517800_22519843	chr10_22519338_22519790
chr10_22535578_22536275	chr10_22535786_22535854
chr10_22540145_22542852	chr10_22540316_22542867
chr10_22604804_22606219	chr10_22604817_22606170
chr10_22609319_22611193	chr10_22609339_22611004
chr10_22614098_22615099	chr10_22614144_22614942
chr10_22624015_22625807	chr10_22624042_22624892
chr10_22628985_22630369	chr10_22629050_22630173
chr10_22725350_22726998	chr10_22725355_22726946
chr10_22780837_22781364	chr10_22780814_22781212
chr10_22794897_22795473	chr10_22794855_22795616
chr10_22859550_22860103	chr10_22859606_22860075
chr10_22862600_22863205	chr10_22862651_22863147
chr10_22885881_22886623	chr10_22885993_22886583
chr10_22889925_22890670	chr10_22889754_22890556
chr10_22893979_22895718	chr10_22893989_22895611
chr10_22900400_22901711	chr10_22900561_22901168
chr10_22904581_22905488	chr10_22904610_22905461
chr10_22918808_22920203	chr10_22918787_22920160
chr10_22922877_22924978	chr10_22922945_22923516
chr10_22922877_22924978	chr10_22924028_22925293
chr10_22935130_22935911	chr10_22935143_22935767
chr10_22938348_22938760	chr10_22938330_22938745
chr10_22940547_22940870	chr10_22940423_22941015
chr10_22941799_22942421	chr10_22942082_22942267
chr10_22944022_22944993	chr10_22944549_22944960
chr10_22955310_22955906	chr10_22955347_22955818
chr10_22958079_22958485	chr10_22958104_22958452
chr10_22970584_22972765	chr10_22970648_22973234
chr10_22982488_22982795	chr10_22982448_22982781
chr10_22993457_22993887	chr10_22993424_22994089
chr10_22999310_22999674	chr10_22999276_22999726
chr10_23001977_23004148	chr10_23001979_23004067
chr10_23012103_23012693	chr10_23012110_23012716
chr10_23031614_23032074	chr10_23031571_23032084
chr10_23055158_23055433	chr10_23055115_23055491
chr10_23201922_23202767	chr10_23201920_23202765
chr10_23216469_23217172	chr10_23216564_23217110
chr10_23277757_23278191	chr10_23277815_23278156
chr10_23357083_23357464	chr10_23357162_23357207
chr10_23384060_23385457	chr10_23384134_23385377
chr10_23447340_23447656	chr10_23447335_23447651
chr10_23630049_23630234	chr10_23629904_23630325
chr10_23633087_23633511	chr10_23632738_23633684
chr10_23652123_23652875	chr10_23652383_23652807
chr10_23702453_23703160	chr10_23702443_23703221
chr10_23721205_23721985	chr10_23721713_23721721
chr10_23727378_23729716	chr10_23727410_23729795
chr10_23731435_23731772	chr10_23731252_23731863
chr10_23737662_23738207	chr10_23737608_23738252
chr10_23932261_23932846	chr10_23932450_23932765
chr10_23991830_23992218	chr10_23991953_23992177
chr10_24911009_24912303	chr10_24911136_24911381
chr10_24931784_24932240	chr10_24931795_24932206
chr10_25011304_25014162	chr10_25011398_25014072
chr10_25171232_25171582	chr10_25171166_25171662
chr10_25176230_25177185	chr10_25176198_25177173
chr10_25183296_25184043	chr10_25183599_25184043
chr10_25189958_25190421	chr10_25189712_25191200
chr10_25240824_25242199	chr10_25240591_25242062
chr10_25304663_25306425	chr10_25304685_25306411
chr10_25351355_25351861	chr10_25351627_25351686
chr10_25369892_25370257	chr10_25369890_25370281
chr10_25402201_25402428	chr10_25402105_25402443
chr10_25983815_25984117	chr10_25983708_25984334
chr10_26623955_26624674	chr10_26623961_26624784
chr10_26719689_26720254	chr10_26719674_26720252
chr10_26726430_26728846	chr10_26726428_26728407
chr10_26736245_26736691	chr10_26736290_26736667
chr10_26737262_26738314	chr10_26737255_26738299
chr10_26746063_26746310	chr10_26745916_26746422
chr10_26757631_26758139	chr10_26757683_26758096
chr10_26763930_26764075	chr10_26763930_26764104
chr10_26768621_26769085	chr10_26768616_26769064
chr10_26769780_26770292	chr10_26769771_26770268
chr10_26770922_26771578	chr10_26770919_26771538
chr10_26775848_26776781	chr10_26775823_26776842
chr10_26863686_26864147	chr10_26863590_26864195
chr10_26910923_26911682	chr10_26911013_26911466
chr10_26973616_26973941	chr10_26973611_26973939
chr10_26985769_26987192	chr10_26985912_26987149
chr10_27010353_27011020	chr10_27010409_27010925
chr10_27015007_27015389	chr10_27015022_27015391
chr10_27026626_27027047	chr10_27026585_27027118
chr10_27044555_27044885	chr10_27044567_27044793
chr10_27070171_27070588	chr10_27069316_27070729
chr10_27148826_27150478	chr10_27148850_27150458
chr10_27388747_27390828	chr10_27388778_27389753
chr10_27388747_27390828	chr10_27390480_27390556
chr10_27442699_27445289	chr10_27442810_27445315
chr10_27513886_27515006	chr10_27513915_27514988
chr10_27529002_27532506	chr10_27529028_27532578
chr10_27541130_27541990	chr10_27541256_27541838
chr10_27546112_27547003	chr10_27546248_27546765
chr10_27547653_27548172	chr10_27547752_27548147
chr10_27608588_27609380	chr10_27608750_27609310
chr10_27643553_27643993	chr10_27643533_27644026
chr10_27649460_27649925	chr10_27649470_27649920
chr10_27753854_27754437	chr10_27754025_27754253
chr10_27792510_27793872	chr10_27792651_27793865
chr10_27830603_27831064	chr10_27830677_27830960
chr10_27857393_27857863	chr10_27857416_27857807
chr10_28030960_28032774	chr10_28030989_28031680
chr10_28287195_28288039	chr10_28287871_28287933
